id	issue	acceptance_criterion	status
1.1	1	`go build` produces a `frank` binary with no CGO	done
1.2	1	All four verbs are routed; unimplemented ones exit with the usage/config code	done
1.3	1	Global flags parse: `--config`, `--output`, `--json`, `--verbose`, `--dry-run`, `--rate`, `--confirm-send`, `--redact`	done
1.4	1	CI runs vet and `go test -race` on push, and is green	done
1.5	1	No third-party dependencies added	done
2.1	2	A hand-constructed Transcript renders to both formats	done
2.2	2	Reply parsing covers multiline continuations and enhanced status codes	done
2.3	2	Every event carries both a monotonic and a wall-clock stamp, and they are monotonic in order	done
2.4	2	`--redact` accepts a repeatable RE2 pattern and masks matches in both renderings	done
2.5	2	The redaction code path is exercised by a test even when no pattern is supplied	done
2.6	2	The in-memory Transcript is unchanged by rendering	done
3.1	3	Accepts or rejects at any Phase, with a caller-supplied code, enhanced status and text	done
3.2	3	Advertises a caller-supplied extension list in its EHLO response	done
3.3	3	Offers or refuses STARTTLS on demand, with a self-signed certificate for the TLS case	done
3.4	3	Rejects a specific Identity Triple and accepts the rest	done
3.5	3	Can emit a Deferral first and an Acceptance on a later connection, so greylisting is testable	done
3.6	3	Runs in-process on an ephemeral port and needs no fixtures on disk	done
4.1	4	`--envelope-from`, `--helo` and `--header-from` are independent and any may differ from any other	done
4.2	4	A test asserts all three mismatched values appear verbatim in the Transcript at the correct Phases	done
4.3	4	EHLO falls back to HELO and the fallback is recorded	done
4.4	4	Exactly one Recipient per Probe, so every Phase has exactly one Outcome	done
4.5	4	Correct dot-stuffing and CRLF-dot-CRLF termination, covered by a test with a body line starting in a dot	done
4.6	4	The reply to the DATA verb and the reply to the terminating dot are recorded as separate Phases	done
4.7	4	Per-Phase timings are populated and monotonic	done
4.8	4	A clean QUIT on every exit path, including error paths	done
4.9	4	Exit codes are asserted by tests	done
5.1	5	`require` aborts when STARTTLS is unavailable, `prefer` continues in plaintext, `none` never offers it	pending
5.2	5	The chain, negotiated version and cipher are recorded identically whether verification passes or fails	pending
5.3	5	A Probe against a self-signed certificate completes with `--tls-verify=false` and records the failure as a finding	pending
5.4	5	The same Probe aborts with `--tls-verify=true`, and the chain is still in the Transcript	pending
